sk_recompra,sk_cliente,sk_tempo,sk_veiculo_novo,sk_concessionaria,vlr_veiculo,canal_venda,financiado
60,664,605,9,16,274312.88,Showroom,True
61,1996,379,13,9,172381.29,Digital,False
62,1208,399,39,10,167853.8,Indicação,True
63,1936,722,76,14,232052.03,Showroom,True
64,3846,399,43,24,244351.15,Showroom,True
65,2529,406,37,22,65663.77,Showroom,True
66,2525,668,24,18,178563.81,Frota,True
67,2528,604,73,11,335403.63,Showroom,False
68,1799,397,49,6,166043.32,Showroom,True
69,957,542,18,12,340265.24,Showroom,True
70,2979,399,22,3,219346.04,Digital,True
71,2005,405,75,20,327240.65,Indicação,False
72,1631,567,33,7,112418.03,Showroom,True
73,2939,646,71,24,296423.82,Indicação,False
74,14,731,11,6,208146.16,Showroom,True
75,2706,559,76,24,303555.44,Showroom,True
76,2931,397,40,12,149303.65,Showroom,True
77,732,557,78,23,113261.76,Showroom,False
78,1178,372,67,17,98961.93,Showroom,False
79,2343,503,49,23,253044.98,Showroom,True
80,877,517,40,19,301455.77,Showroom,True
81,2846,527,78,18,137451.62,Indicação,True
82,3131,368,62,13,317479.64,Digital,True
83,3237,574,6,17,236132.5,Frota,True
84,3957,578,68,2,298235.86,Showroom,True
85,544,563,49,22,189658.61,Showroom,True
86,2224,700,30,6,76682.83,Showroom,True
87,610,564,41,19,166212.58,Showroom,True
88,2137,571,77,25,329805.67,Showroom,True
89,2572,558,47,22,110884.65,Digital,False
90,2558,537,29,17,126459.07,Digital,True
91,241,489,41,12,229233.2,Digital,True
92,3570,645,1,13,263835.08,Digital,False
93,2243,728,81,19,299253.89,Frota,True
94,1399,688,77,7,172209.88,Frota,True
95,2012,412,2,1,323224.2,Showroom,True
96,3814,605,9,5,160562.73,Showroom,True
97,3986,559,49,23,307322.18,Digital,True
98,1149,614,17,17,292227.84,Showroom,False
99,852,536,64,12,337788.45,Showroom,True
100,137,708,71,8,259461.23,Frota,True
101,1175,377,40,9,323283.76,Showroom,False
102,2365,670,54,10,278790.12,Indicação,False
103,364,406,41,3,277477.56,Frota,True
104,1482,503,17,11,311820.36,Digital,True
105,3962,434,14,19,78847.96,Indicação,False
106,3955,671,32,10,151849.88,Indicação,True
107,3241,564,11,16,279072.13,Indicação,False
108,248,710,34,5,224566.1,Digital,False
109,2111,454,63,13,271129.62,Indicação,True
110,1816,402,32,3,270516.12,Frota,False
111,729,722,44,2,246467.53,Showroom,True
112,1369,715,84,1,327220.48,Digital,True
113,1997,640,2,1,245120.48,Digital,False
114,1523,383,2,11,75238.15,Showroom,True
115,1479,686,24,23,188140.56,Showroom,False
116,3786,494,27,8,90426.89,Showroom,True
117,120,460,24,11,318582.36,Showroom,False
118,1088,598,3,24,174404.86,Digital,True
119,1042,548,6,19,315175.86,Showroom,True
120,3268,516,1,20,288022.67,Digital,True
121,3201,698,68,20,162229.67,Showroom,True
122,343,617,78,6,251570.04,Indicação,True
123,2653,704,51,10,146019.52,Showroom,False
124,167,630,30,18,319958.92,Showroom,False
125,3302,482,7,7,128234.71,Digital,True
126,1102,413,84,23,300685.71,Digital,True
127,3568,454,45,3,333748.5,Frota,True
128,3626,416,63,11,312235.42,Showroom,True
129,1414,500,30,21,94347.9,Showroom,False
130,718,574,17,20,143757.71,Showroom,False
131,3563,632,23,7,322281.93,Indicação,True
132,1250,704,20,10,287577.35,Frota,True
133,3775,479,4,24,340751.0,Showroom,True
134,602,480,54,25,292556.71,Showroom,False
135,1885,480,79,5,145911.07,Showroom,True
136,2165,519,74,7,278374.9,Indicação,True
137,1216,491,79,20,326533.99,Showroom,True
138,2296,525,77,6,296461.42,Showroom,True
139,487,641,65,15,266621.16,Digital,True
140,2332,712,3,4,138299.19,Showroom,False
141,690,603,31,18,265195.29,Indicação,False
142,3892,628,84,1,230085.92,Frota,False
143,3067,591,10,8,262997.69,Showroom,True
144,1527,427,58,9,203335.29,Showroom,True
145,2679,655,10,10,212671.65,Showroom,True
146,1454,658,79,14,74773.12,Showroom,True
147,3406,609,10,19,338307.54,Digital,False
148,3471,577,13,15,286765.85,Digital,True
149,3993,445,49,20,322102.08,Showroom,False
150,3408,592,75,13,182509.79,Digital,True
151,1376,705,34,19,97081.1,Digital,True
152,938,717,23,13,244636.9,Indicação,True
153,2896,706,39,9,134691.11,Digital,True
154,1066,458,83,12,184839.96,Indicação,True
155,3637,710,34,10,324350.7,Showroom,True
156,3019,374,19,17,220092.92,Indicação,False
157,2843,547,84,17,314039.74,Showroom,False
158,2537,392,13,9,152980.8,Digital,False
159,3899,721,84,15,334678.49,Showroom,True
160,1841,450,81,6,135494.91,Showroom,False
161,734,423,74,8,198009.99,Showroom,False
162,3332,562,46,1,298722.25,Digital,True
163,2320,519,67,2,285180.93,Frota,True
164,575,683,67,12,219098.84,Indicação,True
165,1987,684,39,10,330345.07,Indicação,True
166,1826,382,78,21,131643.92,Indicação,True
167,2424,543,75,13,107183.98,Digital,False
168,2512,651,44,10,72043.98,Indicação,False
169,3618,607,70,5,301060.95,Indicação,True
170,1487,695,28,24,323819.26,Showroom,False
171,3472,470,84,11,342318.13,Showroom,True
172,1188,461,57,8,245184.67,Indicação,True
173,567,468,29,9,203096.78,Showroom,False
174,144,728,19,12,170773.5,Showroom,True
175,593,691,5,25,349835.17,Digital,False
176,3969,491,2,5,65674.97,Showroom,False
177,3152,372,45,13,214838.44,Digital,True
178,2345,435,68,12,123514.74,Showroom,False
179,1079,617,15,15,140947.01,Frota,True
180,2518,516,37,20,86729.91,Showroom,False
181,1444,452,65,12,74028.41,Showroom,True
182,1469,390,53,24,90472.9,Digital,True
183,1920,637,8,10,197920.26,Showroom,True
184,3108,604,82,17,308813.61,Indicação,False
185,667,429,46,13,331965.52,Showroom,True
186,1022,730,82,9,137484.85,Showroom,False
187,652,529,35,1,283718.65,Showroom,True
188,3701,587,7,9,133156.09,Showroom,False
189,1348,609,69,5,264522.19,Indicação,True
190,3976,447,14,15,297161.77,Showroom,True
191,2,411,61,24,111006.56,Showroom,True
192,2689,425,76,7,79506.37,Showroom,True
193,2380,550,74,1,180402.32,Showroom,True
194,3254,593,45,19,255970.59,Indicação,True
195,1918,726,19,11,247130.63,Digital,True
196,1398,566,56,15,348237.75,Showroom,True
197,854,513,75,23,69249.02,Indicação,True
198,629,729,7,1,144096.79,Digital,False
199,1256,592,64,19,147730.81,Showroom,True
200,3026,702,9,13,254093.05,Showroom,False
201,683,669,50,16,182473.49,Showroom,True
202,1215,641,16,16,187729.32,Digital,True
203,3272,495,78,23,256061.77,Digital,True
204,3327,597,55,25,301124.01,Digital,False
205,3000,590,80,16,188026.88,Digital,True
206,2575,624,14,21,152636.26,Indicação,True
207,3380,463,51,24,193954.57,Showroom,True
208,2333,586,32,7,130132.87,Digital,True
209,1209,512,10,18,225367.96,Digital,True
210,3009,378,78,3,149163.23,Digital,True
211,585,516,70,21,236720.09,Showroom,True
212,3149,557,75,17,264176.95,Showroom,False
213,9,424,12,17,282258.45,Indicação,True
214,2622,393,1,1,100899.9,Showroom,True
215,2480,527,40,4,284011.03,Showroom,False
216,3017,705,70,16,126957.48,Showroom,True
217,1731,639,43,12,246104.55,Showroom,True
218,672,652,33,22,186292.94,Showroom,True
219,1340,697,47,6,212445.28,Indicação,False
220,1919,551,14,11,225213.36,Showroom,True
221,3453,428,73,11,160267.21,Indicação,False
222,3663,699,47,23,93149.91,Showroom,False
223,2050,434,1,3,290196.57,Digital,True
224,2600,531,31,2,221947.05,Showroom,True
225,3045,594,13,8,94264.74,Showroom,True
226,1021,371,73,9,186503.12,Showroom,True
227,1370,450,52,20,251037.3,Showroom,True
228,3747,447,3,4,292768.96,Showroom,True
229,3552,433,2,5,216856.27,Digital,True
230,3783,444,46,1,97372.28,Frota,True
231,3882,714,82,1,154063.36,Showroom,True
232,3579,675,79,24,173554.43,Showroom,True
233,329,596,27,16,286710.59,Digital,False
234,3804,438,1,13,194353.39,Showroom,True
235,2696,482,46,3,105596.74,Frota,False
236,2618,600,54,23,89580.56,Showroom,False
237,3137,624,54,8,157044.49,Digital,True
238,363,578,84,4,244300.33,Showroom,False
239,3021,515,7,12,165461.71,Indicação,True
240,1512,629,37,24,268329.2,Digital,True
241,2412,453,73,13,323700.48,Digital,True
242,3492,631,31,11,314960.08,Showroom,True
243,2291,545,47,12,160151.87,Digital,True
244,3318,557,46,7,230628.66,Digital,False
245,1653,668,59,16,111025.2,Digital,False
246,1549,493,22,23,175663.28,Digital,True
247,1716,407,69,22,87097.08,Digital,False
248,1807,462,35,21,189941.71,Indicação,True
249,1038,718,5,1,100739.07,Showroom,True
250,1794,532,25,19,137529.78,Digital,True
251,2546,697,56,18,259957.05,Indicação,False
252,275,680,48,21,227558.17,Indicação,True
253,2335,581,7,24,244866.59,Digital,True
254,3100,641,80,11,323991.68,Digital,True
255,1728,638,57,15,113291.49,Showroom,False
256,1638,525,23,18,213660.4,Digital,True
257,813,692,39,1,200519.01,Frota,True
258,2712,623,4,4,172741.91,Showroom,False
259,2057,629,62,21,175435.37,Indicação,True
260,3400,543,6,15,108582.4,Digital,True
261,925,623,79,16,201494.83,Showroom,False
262,551,713,84,22,65828.31,Indicação,True
263,2104,729,28,19,274232.38,Showroom,True
264,2094,652,36,21,345677.61,Frota,True
265,2075,394,28,3,90425.21,Digital,True
266,2887,417,30,1,240098.16,Showroom,True
267,1637,419,71,9,342371.31,Frota,False
268,636,546,10,9,259490.1,Showroom,False
269,1456,475,1,22,319443.76,Indicação,True
270,2059,400,22,22,303527.91,Showroom,False
271,1259,571,79,6,283133.9,Digital,True
272,546,611,50,22,279503.74,Showroom,True
273,2721,427,33,12,130183.21,Showroom,True
274,21,673,7,12,309926.06,Showroom,True
275,3224,695,43,25,342324.5,Indicação,True
276,730,394,36,5,144543.7,Indicação,False
277,782,722,51,3,204137.79,Indicação,True
278,1052,650,67,6,180476.7,Indicação,True
279,527,713,79,13,75833.7,Showroom,True
280,1275,565,80,15,177625.43,Digital,True
281,3441,584,52,15,109460.84,Indicação,True
282,1278,468,62,9,195402.83,Frota,True
283,566,631,36,22,315741.28,Indicação,False
284,3941,437,61,5,178109.46,Digital,False
285,2895,373,15,12,242102.86,Showroom,True
286,2379,627,73,1,112383.76,Digital,True
287,3172,425,26,21,182590.91,Digital,True
288,2482,537,38,25,219028.71,Digital,True
289,405,463,83,22,167488.86,Digital,False
290,3566,400,44,19,251575.77,Showroom,True
291,1877,575,32,2,214929.3,Frota,False
292,517,533,57,23,222588.46,Showroom,False
293,1191,399,28,23,168973.81,Showroom,True
294,3874,697,5,11,158378.29,Showroom,True
295,1186,453,2,16,74058.69,Showroom,True
296,106,376,3,22,337385.72,Showroom,False
297,3988,688,45,9,325053.2,Indicação,False
298,1103,474,6,24,133935.08,Showroom,True
299,3659,722,7,23,346531.74,Digital,False
300,2987,438,84,7,109484.99,Indicação,True
301,2053,468,46,13,148192.49,Digital,True
302,620,521,31,7,293983.06,Showroom,False
303,2655,616,15,2,314874.6,Showroom,True
304,588,675,45,22,87266.14,Showroom,True
305,3564,404,70,9,213863.22,Indicação,True
306,563,412,20,9,132129.9,Showroom,False
307,3890,406,17,15,157967.01,Showroom,True
308,2991,552,84,15,169736.2,Showroom,True
309,1227,590,75,8,305124.0,Indicação,True
310,3576,719,62,2,311043.67,Showroom,False
311,2369,702,51,14,93673.54,Showroom,True
312,916,684,71,24,191502.28,Indicação,False
313,2594,705,72,15,270590.93,Digital,True
314,62,656,77,9,120863.98,Showroom,True
315,1281,641,47,9,338217.09,Showroom,True
316,1318,660,81,22,242082.36,Showroom,False
317,2446,679,42,11,269168.68,Showroom,False
318,2926,671,55,11,247114.79,Digital,True
319,2266,402,38,19,147752.98,Indicação,True
320,3128,589,69,2,301594.47,Indicação,True
321,408,371,34,14,313033.78,Indicação,True
322,2207,522,48,15,206723.85,Indicação,False
323,392,674,16,21,231106.48,Indicação,True
324,1515,473,65,7,337791.11,Showroom,True
325,3893,707,69,8,146624.95,Showroom,True
326,3151,633,69,10,328623.15,Showroom,False
327,3056,560,50,8,344714.6,Showroom,False
328,1214,692,83,25,291941.85,Digital,True
329,2700,653,67,3,155936.17,Showroom,False
330,2439,470,59,25,218823.7,Indicação,True
331,1958,646,42,16,131702.41,Showroom,True
332,2701,636,35,12,148484.22,Showroom,True
333,2192,417,7,12,306078.52,Showroom,True
334,393,589,53,6,151826.91,Frota,True
335,1011,441,19,15,140461.81,Indicação,True
336,3702,689,63,13,261664.34,Digital,True
337,1592,380,70,3,225497.82,Showroom,False
338,2692,727,21,1,256516.82,Digital,False
339,294,620,66,25,168287.22,Indicação,True
340,2240,439,22,5,146770.23,Showroom,False
341,1383,455,46,1,87734.52,Digital,True
342,1988,699,29,10,241789.17,Digital,True
343,590,610,53,23,264161.39,Frota,False
344,3569,447,18,18,173098.89,Digital,True
345,1170,540,17,2,293557.81,Showroom,False
346,2152,425,32,25,286578.43,Showroom,True
347,1801,642,64,15,230277.7,Showroom,True
348,717,536,7,8,249831.14,Showroom,False
349,905,531,84,23,98459.96,Digital,False
350,2567,378,41,2,233252.38,Showroom,True
351,2302,717,73,16,190367.13,Digital,True
352,1293,557,39,23,80629.58,Showroom,False
353,1898,667,79,18,340338.71,Showroom,False
354,2606,681,31,17,259900.68,Frota,False
355,2759,453,32,6,75665.79,Indicação,False
356,2463,423,37,11,238518.83,Showroom,False
357,1154,377,18,15,348174.3,Showroom,True
358,695,641,81,22,241425.5,Digital,True
359,3271,554,17,10,320827.65,Showroom,True
360,3630,580,13,13,239687.23,Digital,False
361,3416,588,17,18,241325.5,Showroom,True
362,114,379,53,20,187893.93,Frota,True
363,376,484,11,8,320753.09,Indicação,True
364,1676,703,75,19,214326.9,Indicação,False
365,998,592,69,14,301655.1,Indicação,True
366,482,725,58,23,234993.92,Indicação,True
367,3897,446,9,7,73837.36,Digital,False
368,2414,403,61,6,126165.42,Showroom,False
369,2371,696,31,20,143209.73,Showroom,False
370,3153,514,81,6,94498.43,Showroom,True
371,410,450,8,14,320848.17,Indicação,False
372,2912,446,82,11,307497.92,Frota,False
373,3516,545,23,17,278931.42,Indicação,True
374,158,419,71,6,101314.59,Showroom,True
375,150,407,8,19,346123.54,Showroom,True
376,1693,377,41,24,161217.21,Indicação,True
377,1474,502,37,22,288297.23,Frota,True
378,910,428,35,4,118490.4,Digital,False
379,2815,608,73,17,129357.42,Showroom,True
380,2214,523,18,15,242689.35,Showroom,True
381,369,422,43,8,273034.47,Digital,True
382,1628,529,32,2,126269.37,Digital,True
383,1901,499,79,19,186050.6,Showroom,True
384,2723,589,3,23,348785.78,Showroom,True
385,3602,615,48,13,175781.91,Showroom,True
386,3887,457,43,12,188125.31,Indicação,True
387,3236,399,66,1,103584.51,Digital,True
388,661,531,71,22,305325.19,Digital,True
389,2251,677,8,9,328193.16,Frota,False
390,2552,670,78,5,273069.99,Showroom,True
391,2034,624,79,8,333456.35,Showroom,True
392,1969,705,70,7,99692.91,Showroom,False
393,1942,571,2,6,310396.04,Showroom,True
394,3737,513,34,17,203345.88,Showroom,True
395,2544,410,10,3,181277.88,Showroom,True
396,2837,616,75,23,294408.4,Frota,False
397,1177,547,22,24,152434.16,Showroom,False
398,1460,469,24,13,156752.14,Indicação,True
399,3665,502,27,10,335667.94,Digital,True
400,64,579,57,10,73294.63,Indicação,True
401,249,407,28,9,114126.6,Digital,True
402,1880,620,23,24,115855.72,Showroom,True
403,3122,460,22,14,83672.33,Showroom,False
404,3474,433,32,17,142030.3,Frota,False
405,1205,599,54,20,234502.99,Indicação,True
406,1844,668,4,3,128209.06,Showroom,True
407,403,615,33,15,230514.37,Showroom,False
408,1594,454,34,7,305850.53,Digital,False
409,3178,455,30,22,143529.81,Showroom,True
410,1109,644,51,6,333223.27,Frota,True
411,1819,681,60,16,345858.15,Digital,True
412,2668,507,58,10,233405.4,Frota,True
413,55,450,67,12,65670.12,Indicação,True
414,790,471,55,1,299406.84,Showroom,True
415,1172,634,31,18,112374.76,Showroom,True
416,3348,393,43,7,116869.3,Showroom,True
417,264,589,46,22,193262.59,Showroom,True
418,1176,572,2,16,341161.61,Indicação,True
419,522,656,56,9,285766.68,Digital,True
420,2952,592,26,7,151241.35,Indicação,True
421,1269,450,77,4,269663.25,Showroom,False
422,1884,626,79,10,87188.57,Showroom,False
423,3423,662,35,5,224100.06,Indicação,True
424,2362,619,4,6,262037.49,Showroom,False
425,3544,622,52,21,273236.91,Indicação,False
426,2324,550,63,2,240194.2,Showroom,True
427,2797,415,62,10,264959.38,Frota,True
428,2844,693,78,13,83838.81,Showroom,True
429,896,693,8,9,167980.65,Indicação,True
430,2766,493,67,15,110111.43,Showroom,False
431,2490,599,45,10,215493.11,Digital,True
432,3143,681,23,23,72963.0,Showroom,True
433,1468,423,20,23,170901.56,Frota,True
434,1708,479,20,10,80552.88,Showroom,True
435,500,525,27,13,89070.65,Frota,False
436,2374,532,65,10,169555.33,Showroom,False
437,1639,583,40,14,125881.21,Showroom,True
438,1959,606,11,24,203456.92,Showroom,True
439,2009,562,57,25,216706.81,Digital,True
440,1355,619,5,14,284132.01,Showroom,True
441,3530,598,8,25,205047.09,Showroom,True
442,1455,483,79,8,79766.23,Indicação,False
443,2517,730,55,5,277426.34,Indicação,False
444,2861,599,34,21,205976.97,Indicação,True
445,3752,632,45,16,148609.06,Showroom,True
446,3631,408,83,4,313486.28,Showroom,True
447,1364,377,21,25,73518.5,Digital,True
448,3813,562,11,7,293998.04,Showroom,True
449,839,635,31,7,134867.31,Digital,True
450,914,532,57,22,214412.43,Showroom,False
451,2835,455,48,2,123435.08,Indicação,True
452,2357,463,81,24,131125.19,Showroom,False
453,75,448,48,16,224793.18,Frota,True
454,2521,517,4,19,69764.54,Digital,False
455,3371,566,29,18,245848.34,Digital,True
456,399,369,16,22,251340.63,Showroom,False
457,1101,487,62,2,224612.87,Frota,False
458,912,617,74,21,288267.92,Showroom,True
459,958,402,74,21,325797.49,Showroom,True
460,3599,377,81,2,97434.46,Showroom,False
461,3666,443,36,8,91421.62,Indicação,False
462,1911,479,34,2,224474.74,Showroom,True
463,1384,425,80,16,139816.15,Indicação,False
464,827,683,16,17,168349.03,Showroom,True
465,1359,687,36,21,152307.1,Digital,True
466,1943,634,17,3,136754.62,Frota,True
467,38,503,65,9,87924.99,Digital,False
468,682,469,66,1,143449.76,Showroom,False
469,657,459,58,6,346965.41,Showroom,False
470,1691,391,41,1,256899.33,Digital,True
471,3652,685,10,21,143957.86,Digital,True
472,2070,437,18,8,185814.03,Indicação,True
473,760,418,49,7,186196.6,Digital,False
474,1160,492,42,4,170777.98,Showroom,True
475,3050,581,74,6,117101.03,Showroom,True
476,1072,417,41,6,307237.47,Digital,True
477,3723,386,65,21,115614.4,Showroom,True
478,1236,517,66,3,334938.99,Digital,True
479,1845,508,38,8,272609.54,Showroom,False
480,65,370,78,10,200679.22,Showroom,False
481,3644,516,48,3,288212.95,Showroom,True
482,1752,625,34,9,103821.48,Digital,True
483,3979,629,35,24,105239.81,Frota,False
484,1031,606,41,17,97473.36,Showroom,True
485,3426,500,77,4,95787.73,Digital,True
486,1954,405,41,19,244042.86,Digital,False
487,462,482,68,17,208298.39,Digital,True
488,1790,506,53,13,132427.18,Indicação,True
489,2514,705,49,6,289969.06,Digital,True
490,1410,646,45,8,324868.01,Indicação,True
491,1778,519,6,5,87787.01,Indicação,True
492,2672,614,84,8,202276.07,Showroom,True
493,2269,474,43,1,278081.2,Showroom,False
494,3301,493,58,3,206344.26,Showroom,True
495,1726,689,71,6,89821.42,Showroom,False
496,224,512,45,7,124327.5,Digital,False
497,396,416,36,12,134102.62,Showroom,False
498,2037,411,46,18,76578.06,Showroom,True
499,3646,412,38,18,332770.38,Showroom,True
500,2252,472,23,2,107026.79,Showroom,True
501,3507,660,49,20,198668.81,Showroom,True
502,8,524,23,14,70944.1,Indicação,True
503,2003,384,51,6,66210.85,Showroom,True
504,2045,482,26,23,335297.17,Showroom,False
505,3847,593,58,11,82083.86,Showroom,True
506,533,714,12,13,147181.06,Indicação,True
507,512,660,32,14,231012.81,Showroom,False
508,1361,660,23,13,220618.37,Digital,True
509,3381,536,84,6,122621.23,Showroom,True
510,1779,493,8,1,220094.28,Frota,True
511,1829,601,32,3,343919.49,Digital,False
512,1008,433,66,2,198583.18,Indicação,False
513,2550,611,12,25,282542.35,Showroom,False
514,2265,587,70,8,166106.2,Showroom,True
515,1529,443,80,19,198311.62,Digital,True
516,3998,585,64,3,282378.08,Digital,True
517,3113,727,33,10,250596.2,Frota,False
518,1775,533,84,23,273655.25,Showroom,True
519,59,377,48,13,349692.23,Digital,True
520,2212,608,2,12,259449.23,Frota,True
521,3860,686,54,9,343533.92,Showroom,True
522,842,572,65,21,111988.09,Showroom,True
523,107,728,49,15,74533.72,Showroom,True
524,2841,561,19,14,345358.39,Digital,True
525,210,466,47,13,80192.77,Showroom,True
526,1935,492,2,19,270446.47,Digital,True
527,1239,588,39,13,193449.59,Indicação,True
528,2997,713,66,16,148492.73,Showroom,True
529,1586,438,37,6,141471.64,Indicação,True
530,3068,457,45,8,137569.42,Frota,True
531,520,566,55,25,272245.89,Showroom,False
532,2487,692,58,18,88750.89,Frota,True
533,707,420,72,16,165369.12,Digital,False
534,1563,645,15,21,178771.23,Showroom,False
535,1081,601,77,22,269763.74,Showroom,True
536,37,414,25,7,115409.8,Frota,True
537,2839,532,28,20,318887.91,Digital,True
538,1634,533,26,7,264965.65,Showroom,False
539,447,449,12,6,240542.06,Digital,False
540,3802,425,82,20,312758.26,Frota,False
541,3491,672,70,21,90995.43,Showroom,False
542,1065,492,70,11,103692.19,Digital,False
543,615,555,10,3,294792.17,Digital,True
544,480,711,6,15,285179.47,Indicação,False
545,3095,576,33,16,87847.03,Digital,False
546,1074,462,31,5,325261.44,Indicação,False
547,1667,568,65,12,96634.21,Showroom,False
548,1697,536,11,14,148800.49,Digital,False
549,1450,671,19,1,99084.58,Frota,False
550,3249,507,80,22,299076.6,Indicação,True
551,407,424,19,3,81568.47,Frota,True
552,3317,505,64,13,261270.19,Showroom,False
553,3961,467,68,11,268696.06,Frota,True
554,3334,393,42,19,80522.29,Showroom,True
555,2259,727,30,8,293179.42,Digital,False
556,599,521,18,16,85695.72,Showroom,False
557,2960,552,7,19,77283.96,Digital,False
558,574,639,78,15,100095.27,Showroom,False
559,3004,400,26,22,158935.41,Indicação,False
560,692,729,20,16,159741.23,Indicação,True
561,3148,448,33,22,123350.78,Digital,True
562,3871,572,32,5,158434.19,Indicação,True
563,1748,395,37,7,244252.0,Digital,True
564,289,562,48,4,92689.33,Showroom,True
565,1465,450,32,17,331186.09,Showroom,True
566,2636,385,9,12,269197.99,Indicação,False
567,2941,455,33,8,149266.19,Digital,True
568,1871,382,53,15,192862.71,Indicação,True
569,1740,682,9,18,302349.84,Frota,False
570,2422,500,32,18,259220.42,Indicação,True
571,1665,413,81,3,341597.85,Digital,True
572,110,545,4,16,147641.42,Showroom,True
573,3923,460,6,24,232242.68,Digital,True
574,2936,495,12,24,224111.88,Digital,False
575,3127,581,48,5,119883.97,Indicação,True
576,3669,582,78,13,132739.28,Digital,True
577,2573,701,38,15,176337.42,Indicação,False
578,1470,689,32,20,218321.18,Frota,True
579,3769,645,31,23,138081.81,Digital,False
580,3803,606,43,13,279549.13,Indicação,True
581,1415,424,30,25,258777.63,Showroom,True
582,1078,462,61,17,308442.57,Indicação,True
583,435,487,24,13,79840.54,Showroom,False
584,1912,474,36,5,227056.24,Digital,False
585,2589,642,51,3,139265.32,Digital,False
586,118,451,75,3,249082.78,Showroom,True
587,3427,591,46,6,242736.34,Digital,True
588,3205,644,75,14,232389.15,Frota,False
589,2756,408,82,17,341747.5,Indicação,True
590,3799,553,8,6,216143.44,Showroom,False
591,3186,646,57,1,120585.54,Frota,False
592,63,469,64,7,185197.33,Showroom,False
593,2306,576,41,5,269163.1,Indicação,False
594,3455,547,78,10,325805.53,Indicação,True
595,821,683,56,2,134266.98,Showroom,True
596,3082,416,34,2,236836.24,Showroom,False
597,596,729,81,22,142260.48,Indicação,True
598,1014,512,5,8,173870.73,Digital,True
599,2884,707,67,9,94134.43,Digital,True
600,1976,454,30,10,121199.72,Digital,False
601,1304,544,55,22,246560.92,Indicação,True
602,770,710,74,2,271723.95,Indicação,False
603,3571,605,43,21,107444.13,Frota,False
604,3945,369,29,16,206775.52,Digital,True
605,2892,575,43,18,157665.32,Indicação,False
606,3150,700,30,8,172059.28,Showroom,True
607,1017,570,41,7,287852.64,Digital,False
608,3660,506,36,6,249025.11,Showroom,True
609,2497,583,82,21,263185.63,Showroom,True
610,1402,709,11,11,338880.98,Showroom,True
611,809,492,72,11,129459.62,Showroom,True
612,436,523,16,17,257912.54,Digital,False
613,2554,616,10,4,280265.01,Digital,False
614,2752,594,7,6,122235.09,Showroom,True
615,725,686,25,19,262728.87,Frota,True
616,3188,405,71,12,126414.95,Showroom,False
617,416,722,5,8,67313.48,Indicação,True
618,2938,518,21,15,290725.47,Showroom,True
619,157,716,23,18,342949.77,Indicação,True
