sk_os,id_os,sk_tempo,sk_concessionaria,sk_veiculo,sk_servico,sk_cliente,vlr_mao_obra,vlr_pecas_sellout,vlr_pecas_sellin,vlr_total_os,margem_bruta_pecas,tempo_atendimento_h,csat,retornou_30d,status_os
89,OS000089,730,7,71,6,2825,1783.4,813.19,539.08,2596.59,274.11,6,4,False,Cancelada
90,OS000090,613,7,6,8,674,1010.1,940.11,536.98,1950.21,403.13,5,5,False,Concluída
91,OS000091,653,12,19,4,1337,502.85,469.42,284.21,972.27,185.21,5,5,False,Concluída
92,OS000092,687,12,8,1,3301,516.32,285.77,189.48,802.09,96.29,7,5,False,Concluída
93,OS000093,259,1,48,12,1924,487.06,546.6,357.82,1033.66,188.78,5,4,False,Concluída
94,OS000094,226,24,66,7,1277,0.0,0.0,0.0,0.0,0.0,5,5,False,Concluída
95,OS000095,174,19,16,5,2804,629.53,468.31,303.74,1097.84,164.57,6,5,False,Concluída
96,OS000096,617,21,24,2,2086,180.45,136.01,79.75,316.46,56.26,8,1,False,Concluída
97,OS000097,495,4,25,12,1550,527.81,616.41,416.15,1144.22,200.26,2,4,False,Concluída
98,OS000098,176,19,13,6,1577,1566.22,1458.28,955.57,3024.5,502.71,2,5,False,Concluída
99,OS000099,284,21,73,6,196,3009.74,3012.48,2001.42,6022.22,1011.06,4,5,False,Concluída
100,OS000100,372,19,30,5,3579,1045.25,541.32,301.98,1586.57,239.34,8,3,False,Concluída
101,OS000101,391,25,9,6,1923,2450.44,2486.69,1560.2,4937.13,926.49,4,4,False,Concluída
102,OS000102,657,11,63,9,246,3042.38,2151.52,1329.51,5193.9,822.01,3,5,True,Concluída
103,OS000103,286,9,40,12,2003,479.62,193.98,131.45,673.6,62.53,2,4,False,Em Aberto
104,OS000104,669,13,7,9,539,3246.63,1867.05,1282.1,5113.68,584.95,8,4,False,Concluída
105,OS000105,324,22,80,7,2270,0.0,0.0,0.0,0.0,0.0,2,4,False,Concluída
106,OS000106,549,19,32,3,3062,125.65,130.82,86.8,256.47,44.02,6,4,False,Concluída
107,OS000107,683,5,61,12,1549,582.51,648.42,424.16,1230.93,224.26,7,4,True,Concluída
108,OS000108,669,11,60,9,1377,3423.94,2870.28,2016.44,6294.22,853.84,8,5,False,Concluída
109,OS000109,46,24,51,12,836,407.52,408.1,282.72,815.62,125.38,5,5,False,Concluída
110,OS000110,150,25,40,10,1014,353.16,288.55,189.45,641.71,99.1,5,5,False,Concluída
111,OS000111,349,3,79,7,1059,0.0,0.0,0.0,0.0,0.0,4,4,False,Concluída
112,OS000112,318,5,11,4,1811,408.69,268.01,172.02,676.7,95.99,3,5,False,Concluída
113,OS000113,464,13,73,1,2092,395.25,279.22,160.82,674.47,118.4,4,5,False,Concluída
114,OS000114,692,14,16,10,3815,212.85,154.55,99.26,367.4,55.29,7,5,False,Em Aberto
115,OS000115,80,13,25,12,1184,271.79,289.81,178.58,561.6,111.23,1,5,False,Concluída
116,OS000116,331,2,32,6,3178,3113.18,3152.02,1937.44,6265.2,1214.58,1,4,False,Concluída
117,OS000117,140,2,74,12,557,579.96,370.53,228.36,950.49,142.17,7,5,False,Concluída
118,OS000118,660,18,10,12,3063,438.38,432.99,297.02,871.37,135.97,4,5,False,Concluída
119,OS000119,705,6,57,6,3269,2118.22,1309.8,828.53,3428.02,481.27,7,5,False,Concluída
120,OS000120,350,19,84,6,2001,1707.55,1610.75,996.63,3318.3,614.12,3,3,False,Concluída
121,OS000121,75,10,41,11,120,318.1,361.24,258.91,679.34,102.33,1,5,False,Concluída
122,OS000122,582,21,65,4,3299,662.77,578.94,383.67,1241.71,195.27,2,1,False,Concluída
123,OS000123,509,8,32,9,3921,2785.35,1416.52,890.27,4201.87,526.25,1,3,False,Concluída
124,OS000124,269,5,48,5,153,608.13,402.51,252.49,1010.64,150.02,6,5,False,Concluída
125,OS000125,656,2,54,1,873,578.37,406.77,275.73,985.14,131.04,7,5,False,Concluída
126,OS000126,713,6,75,4,1864,400.91,186.63,103.26,587.54,83.37,1,4,False,Concluída
127,OS000127,412,18,41,10,1140,399.98,271.97,179.64,671.95,92.33,1,5,False,Concluída
128,OS000128,417,8,83,11,1756,300.85,348.89,203.71,649.74,145.18,1,5,True,Concluída
129,OS000129,226,2,61,3,1646,142.13,83.98,52.95,226.11,31.03,2,5,False,Concluída
130,OS000130,429,23,7,11,2300,262.79,150.94,100.97,413.73,49.97,6,5,False,Concluída
131,OS000131,323,20,53,8,3961,418.13,370.38,250.8,788.51,119.58,2,5,False,Concluída
132,OS000132,230,4,53,6,3891,2900.04,1539.96,928.41,4440.0,611.55,1,5,False,Concluída
133,OS000133,52,15,26,10,2366,385.78,332.02,233.86,717.8,98.16,7,4,False,Concluída
134,OS000134,189,24,61,10,2184,279.33,271.51,152.84,550.84,118.67,4,1,True,Concluída
135,OS000135,144,20,35,7,1353,0.0,0.0,0.0,0.0,0.0,2,5,False,Concluída
136,OS000136,402,24,3,10,1406,359.25,306.35,170.63,665.6,135.72,7,4,False,Concluída
137,OS000137,439,9,69,2,2962,206.0,93.76,61.89,299.76,31.87,1,5,False,Concluída
138,OS000138,443,24,64,1,54,604.87,639.87,363.41,1244.74,276.46,6,4,False,Concluída
139,OS000139,291,20,11,2,556,202.63,215.39,144.36,418.02,71.03,7,4,False,Concluída
140,OS000140,312,21,6,6,1662,1275.57,1042.65,688.75,2318.22,353.9,8,4,False,Concluída
141,OS000141,620,6,2,12,451,412.71,437.72,284.83,850.43,152.89,6,5,False,Concluída
142,OS000142,348,9,77,5,380,1081.37,1151.21,650.13,2232.58,501.08,8,4,False,Concluída
143,OS000143,722,13,65,8,1371,517.02,399.02,260.86,916.04,138.16,7,5,True,Concluída
144,OS000144,323,5,40,4,2338,434.56,345.67,209.22,780.23,136.45,8,5,False,Concluída
145,OS000145,471,14,15,3,2832,101.21,105.08,63.87,206.29,41.21,5,5,True,Concluída
146,OS000146,42,14,30,4,1847,522.32,424.8,247.44,947.12,177.36,4,5,False,Concluída
147,OS000147,474,18,6,9,248,3048.25,2410.75,1636.63,5459.0,774.12,8,5,False,Concluída
148,OS000148,632,7,21,12,176,476.07,377.36,258.42,853.43,118.94,2,5,False,Concluída
149,OS000149,690,6,57,8,2943,582.51,421.46,249.24,1003.97,172.22,6,2,False,Concluída
150,OS000150,729,12,55,11,1310,244.65,201.77,125.57,446.42,76.2,6,5,False,Concluída
151,OS000151,214,14,84,8,2747,657.35,501.56,302.0,1158.91,199.56,4,4,False,Concluída
152,OS000152,423,19,63,11,3108,174.13,96.48,55.02,270.61,41.46,3,5,False,Concluída
153,OS000153,330,16,9,6,2506,1317.16,1305.15,779.18,2622.31,525.97,5,4,True,Concluída
154,OS000154,416,24,52,5,2660,1184.41,1262.7,758.08,2447.11,504.62,6,3,False,Cancelada
155,OS000155,112,19,37,11,2583,185.89,76.46,49.0,262.35,27.46,5,4,False,Concluída
156,OS000156,635,10,70,8,1373,259.17,114.97,68.94,374.14,46.03,3,5,False,Concluída
157,OS000157,670,11,74,12,3129,473.25,474.31,269.14,947.56,205.17,1,3,False,Concluída
158,OS000158,329,4,9,4,3565,529.63,410.74,256.66,940.37,154.08,3,2,False,Em Aberto
159,OS000159,213,25,16,10,223,393.1,236.64,164.82,629.74,71.82,2,5,False,Concluída
160,OS000160,99,20,32,6,424,3019.71,2175.9,1224.15,5195.61,951.75,1,5,False,Concluída
161,OS000161,498,2,84,9,3712,1115.87,1170.45,832.6,2286.32,337.85,2,4,False,Concluída
162,OS000162,238,9,84,12,689,597.87,295.8,201.13,893.67,94.67,4,5,False,Concluída
163,OS000163,670,10,3,3,1631,157.57,110.98,78.18,268.55,32.8,5,3,False,Concluída
164,OS000164,488,8,14,9,977,3524.57,4201.38,2528.87,7725.95,1672.51,1,5,False,Concluída
165,OS000165,468,4,21,11,3205,271.93,269.77,191.83,541.7,77.94,4,1,False,Concluída
166,OS000166,413,13,72,8,802,1013.17,619.77,349.43,1632.94,270.34,4,4,False,Concluída
167,OS000167,39,6,47,3,153,97.38,44.8,24.66,142.18,20.14,8,1,False,Concluída
168,OS000168,684,6,21,7,3195,0.0,0.0,0.0,0.0,0.0,1,4,False,Cancelada
169,OS000169,455,2,42,5,1880,585.18,565.03,378.29,1150.21,186.74,8,1,False,Concluída
170,OS000170,727,9,17,7,77,0.0,0.0,0.0,0.0,0.0,5,5,False,Concluída
171,OS000171,399,6,40,4,1355,615.13,553.65,366.74,1168.78,186.91,4,5,False,Concluída
172,OS000172,519,5,58,3,168,122.51,102.38,67.58,224.89,34.8,5,4,False,Concluída
173,OS000173,45,2,4,7,1426,0.0,0.0,0.0,0.0,0.0,3,5,False,Concluída
174,OS000174,457,14,42,12,3423,527.42,462.04,318.86,989.46,143.18,5,5,False,Concluída
175,OS000175,565,10,57,6,386,1985.71,1538.84,925.91,3524.55,612.93,7,4,False,Concluída
176,OS000176,576,15,36,5,3862,1154.14,923.75,585.61,2077.89,338.14,2,5,False,Concluída
177,OS000177,569,17,52,4,1870,539.21,599.35,404.48,1138.56,194.87,5,4,False,Concluída
178,OS000178,167,7,22,6,3022,869.84,507.24,337.13,1377.08,170.11,1,5,True,Concluída
179,OS000179,713,20,68,1,1133,649.87,609.46,363.13,1259.33,246.33,1,2,False,Concluída
180,OS000180,728,11,10,12,139,517.09,279.31,178.26,796.4,101.05,8,5,False,Concluída
181,OS000181,58,13,24,8,1444,1390.89,758.3,492.52,2149.19,265.78,8,5,False,Concluída
182,OS000182,687,23,35,6,2953,3416.45,2651.19,1642.2,6067.64,1008.99,6,3,False,Concluída
183,OS000183,220,21,78,11,1604,284.03,308.51,186.98,592.54,121.53,8,4,False,Concluída
184,OS000184,503,17,20,5,2592,630.57,729.04,501.8,1359.61,227.24,1,4,False,Concluída
185,OS000185,257,5,52,8,3452,791.27,515.6,311.92,1306.87,203.68,7,3,False,Concluída
186,OS000186,707,12,14,4,568,645.96,684.68,376.71,1330.64,307.97,8,1,True,Concluída
187,OS000187,73,4,39,2,2160,173.72,95.56,58.44,269.28,37.12,8,4,False,Concluída
188,OS000188,364,1,73,5,230,900.33,907.53,530.55,1807.86,376.98,3,5,False,Concluída
189,OS000189,316,10,34,7,3069,0.0,0.0,0.0,0.0,0.0,8,5,False,Concluída
190,OS000190,248,2,84,5,1844,497.14,585.89,382.88,1083.03,203.01,4,4,False,Concluída
191,OS000191,468,13,67,7,3342,0.0,0.0,0.0,0.0,0.0,1,4,True,Concluída
192,OS000192,91,13,76,2,2800,191.79,91.02,65.41,282.81,25.61,2,4,False,Concluída
193,OS000193,525,25,12,12,112,411.51,203.27,140.55,614.78,62.72,8,5,False,Concluída
194,OS000194,717,12,42,1,3038,629.8,398.97,267.28,1028.77,131.69,7,4,False,Concluída
195,OS000195,597,1,31,3,2615,163.47,193.58,114.49,357.05,79.09,3,5,False,Concluída
196,OS000196,638,10,71,1,2356,465.08,529.03,336.68,994.11,192.35,3,4,False,Concluída
197,OS000197,272,20,9,3,3169,166.4,103.33,70.71,269.73,32.62,7,2,False,Concluída
198,OS000198,247,24,51,3,2574,113.99,117.43,69.92,231.42,47.51,1,3,False,Concluída
199,OS000199,381,5,37,8,863,567.69,362.67,235.66,930.36,127.01,8,5,False,Concluída
200,OS000200,39,10,22,5,2015,1092.21,827.06,522.98,1919.27,304.08,6,5,False,Concluída
201,OS000201,692,7,9,3,3578,135.19,112.85,70.8,248.04,42.05,6,4,False,Concluída
202,OS000202,101,15,80,5,447,1095.68,1297.96,766.57,2393.64,531.39,7,5,False,Concluída
203,OS000203,666,18,64,8,3599,503.63,513.92,286.47,1017.55,227.45,8,4,False,Concluída
204,OS000204,63,20,63,10,2689,341.05,357.8,220.27,698.85,137.53,3,4,False,Concluída
205,OS000205,611,4,73,11,712,249.07,107.0,67.99,356.07,39.01,6,5,False,Concluída
206,OS000206,108,1,12,10,1079,373.94,411.09,256.87,785.03,154.22,8,5,True,Concluída
207,OS000207,34,8,27,1,1753,354.6,182.73,127.56,537.33,55.17,3,4,False,Concluída
208,OS000208,527,11,47,7,885,0.0,0.0,0.0,0.0,0.0,5,5,True,Concluída
209,OS000209,213,3,73,5,2544,670.85,640.1,422.77,1310.95,217.33,6,5,False,Concluída
210,OS000210,523,12,28,4,2614,640.94,697.01,428.38,1337.95,268.63,6,4,False,Concluída
211,OS000211,410,13,35,3,1754,142.68,158.37,100.24,301.05,58.13,1,5,False,Concluída
212,OS000212,78,20,38,12,1496,466.11,273.99,182.57,740.1,91.42,5,5,True,Concluída
213,OS000213,684,18,41,7,3811,0.0,0.0,0.0,0.0,0.0,7,5,False,Concluída
214,OS000214,331,12,67,12,1747,592.42,597.33,400.01,1189.75,197.32,2,5,False,Concluída
215,OS000215,539,10,56,10,908,288.74,275.8,194.05,564.54,81.75,1,5,True,Em Aberto
216,OS000216,367,21,9,2,717,162.17,72.15,44.08,234.32,28.07,7,5,False,Concluída
217,OS000217,441,21,3,8,2128,389.24,321.1,207.5,710.34,113.6,3,5,False,Concluída
218,OS000218,230,15,51,4,2234,367.99,170.44,118.97,538.43,51.47,4,5,False,Concluída
219,OS000219,146,3,77,10,989,299.53,259.55,153.0,559.08,106.55,5,5,True,Concluída
220,OS000220,402,24,49,2,2954,179.74,167.78,117.92,347.52,49.86,8,4,False,Concluída
221,OS000221,324,15,80,2,3706,237.16,223.43,128.89,460.59,94.54,8,4,False,Concluída
222,OS000222,292,17,35,11,3505,339.05,403.51,242.45,742.56,161.06,7,5,False,Concluída
223,OS000223,489,16,16,10,1184,338.06,258.77,155.61,596.83,103.16,7,3,False,Concluída
224,OS000224,504,2,40,1,2738,606.0,294.11,180.83,900.11,113.28,6,5,True,Concluída
225,OS000225,39,1,69,10,2514,314.96,376.11,225.74,691.07,150.37,7,5,True,Concluída
226,OS000226,257,22,8,8,1776,556.82,474.82,316.51,1031.64,158.31,1,3,False,Concluída
227,OS000227,306,4,54,11,1419,332.12,330.84,228.8,662.96,102.04,5,4,False,Concluída
228,OS000228,71,17,33,8,3975,1208.46,705.86,484.45,1914.32,221.41,4,5,False,Concluída
229,OS000229,175,7,51,6,3736,2518.87,2258.7,1502.53,4777.57,756.17,3,5,False,Concluída
230,OS000230,42,25,2,2,2636,201.67,226.42,149.41,428.09,77.01,5,5,False,Concluída
231,OS000231,729,5,38,3,3344,158.86,67.78,41.48,226.64,26.3,3,3,False,Concluída
232,OS000232,541,23,56,9,331,906.45,576.58,390.39,1483.03,186.19,3,5,True,Concluída
233,OS000233,65,4,20,7,2654,0.0,0.0,0.0,0.0,0.0,6,3,False,Concluída
234,OS000234,19,20,52,12,865,435.8,492.8,340.61,928.6,152.19,5,5,False,Concluída
235,OS000235,527,20,9,5,2721,1131.24,1306.98,933.78,2438.22,373.2,5,3,False,Cancelada
236,OS000236,323,5,65,5,837,997.25,669.13,381.12,1666.38,288.01,2,5,False,Concluída
237,OS000237,583,8,66,7,1169,0.0,0.0,0.0,0.0,0.0,7,5,False,Concluída
238,OS000238,679,20,19,1,1212,640.18,668.14,409.02,1308.32,259.12,7,1,False,Concluída
239,OS000239,438,23,16,1,3135,354.18,293.71,184.25,647.89,109.46,5,5,False,Concluída
240,OS000240,135,9,69,3,1314,138.46,146.48,103.98,284.94,42.5,2,4,False,Concluída
241,OS000241,579,6,20,9,784,2894.44,2249.51,1474.16,5143.95,775.35,6,4,False,Concluída
242,OS000242,699,4,52,8,3251,1389.83,802.06,449.75,2191.89,352.31,8,2,False,Concluída
243,OS000243,426,5,14,12,3949,568.29,364.7,225.9,932.99,138.8,3,4,False,Em Aberto
244,OS000244,497,8,77,3,1649,84.53,36.33,26.13,120.86,10.2,2,5,False,Concluída
245,OS000245,256,20,35,12,2825,284.02,315.21,180.64,599.23,134.57,8,5,False,Concluída
246,OS000246,286,13,57,8,3040,682.31,791.14,528.8,1473.45,262.34,7,5,True,Concluída
247,OS000247,540,4,34,4,2532,534.94,524.93,367.72,1059.87,157.21,2,5,False,Concluída
248,OS000248,681,7,59,7,1307,0.0,0.0,0.0,0.0,0.0,5,4,False,Concluída
249,OS000249,455,22,80,2,1390,124.25,86.53,54.11,210.78,32.42,4,2,False,Concluída
250,OS000250,586,1,28,5,176,1084.36,519.93,346.57,1604.29,173.36,6,5,False,Concluída
251,OS000251,123,9,43,12,2413,271.19,168.33,120.29,439.52,48.04,8,2,False,Concluída
252,OS000252,155,5,35,5,2974,473.34,269.65,177.62,742.99,92.03,1,5,False,Concluída
253,OS000253,395,10,15,11,3070,160.12,106.77,76.67,266.89,30.1,4,5,False,Concluída
254,OS000254,127,11,3,5,3535,454.89,460.41,269.44,915.3,190.97,4,4,False,Concluída
255,OS000255,460,18,27,9,91,3364.38,1972.87,1344.79,5337.25,628.08,1,5,True,Concluída
256,OS000256,222,5,4,9,2966,1542.73,1831.56,1314.84,3374.29,516.72,5,5,False,Concluída
257,OS000257,587,24,22,2,1942,223.81,109.21,76.15,333.02,33.06,3,5,False,Cancelada
258,OS000258,600,22,69,10,1779,202.97,209.46,123.68,412.43,85.78,6,4,False,Concluída
259,OS000259,339,24,23,12,1816,255.52,156.45,89.42,411.97,67.03,7,5,True,Concluída
260,OS000260,130,21,13,9,2254,2388.69,2380.41,1501.95,4769.1,878.46,6,5,False,Concluída
261,OS000261,469,4,60,1,294,503.97,245.56,156.09,749.53,89.47,1,5,False,Concluída
262,OS000262,726,19,27,5,2438,981.79,1106.48,732.5,2088.27,373.98,5,5,False,Concluída
263,OS000263,451,16,50,10,877,291.61,341.54,191.38,633.15,150.16,8,4,False,Concluída
264,OS000264,32,2,79,1,401,604.19,447.72,254.46,1051.91,193.26,8,1,True,Concluída
265,OS000265,16,15,12,3,3804,87.35,40.59,26.52,127.94,14.07,2,3,False,Concluída
266,OS000266,244,9,10,10,3511,225.24,202.59,131.58,427.83,71.01,6,5,True,Concluída
267,OS000267,142,17,49,12,316,383.32,336.52,201.96,719.84,134.56,7,5,False,Concluída
268,OS000268,604,2,35,12,2996,284.71,273.73,190.24,558.44,83.49,4,3,False,Concluída
269,OS000269,627,22,38,6,2072,1961.19,2177.85,1351.03,4139.04,826.82,8,5,False,Concluída
270,OS000270,194,6,54,10,3053,279.75,275.19,165.98,554.94,109.21,6,5,False,Em Aberto
271,OS000271,248,1,20,9,1459,2861.37,2001.36,1152.68,4862.73,848.68,8,5,False,Concluída
272,OS000272,176,8,12,4,1039,326.85,348.23,197.05,675.08,151.18,2,5,False,Concluída
273,OS000273,669,11,3,2,1524,216.8,151.35,86.59,368.15,64.76,1,4,False,Concluída
274,OS000274,369,20,2,5,2716,869.17,738.16,447.35,1607.33,290.81,2,4,False,Concluída
275,OS000275,476,23,22,1,2830,473.24,520.04,369.22,993.28,150.82,7,3,False,Em Aberto
276,OS000276,308,15,35,10,3211,373.62,364.97,260.82,738.59,104.15,5,3,False,Concluída
