"sk_cliente","id_cliente","segmento_cliente","canal_aquisicao","uf_cliente","qtd_visitas","primeira_visita","ultima_visita","valor_lifetime","classificacao_retencao"
3654,"CLI03654","PF - Varejo","Showroom","RS","11","2023-01-14","2024-10-03","16817.61","Fiel"
2218,"CLI02218","PF - Varejo","Indicação","SP","11","2023-03-14","2024-12-27","8510.09","Fiel"
2465,"CLI02465","PF - Premium","Digital","PE","11","2023-02-09","2024-08-18","20810.53","Fiel"
3879,"CLI03879","PF - Premium","Digital","PR","11","2023-04-04","2024-12-27","15403.91","Fiel"
3969,"CLI03969","PJ - Frota Pequena","Indicação","SP","11","2023-07-09","2024-11-20","14855.27","Fiel"
1853,"CLI01853","PF - Varejo","Indicação","SC","11","2023-01-28","2024-05-12","11494.43","Fiel"
1852,"CLI01852","PF - Premium","Digital","MG","11","2023-02-09","2024-07-19","11952.51","Fiel"
2540,"CLI02540","PF - Varejo","Digital","RJ","11","2023-01-15","2024-12-14","12280.57","Fiel"
2830,"CLI02830","PF - Varejo","Digital","DF","11","2023-01-08","2024-10-19","7749.44","Fiel"
551,"CLI00551","PF - Varejo","Digital","PR","11","2023-01-17","2024-09-21","8468.21","Fiel"
2366,"CLI02366","PF - Premium","Indicação","SP","11","2023-02-21","2024-12-19","14316.20","Fiel"
3036,"CLI03036","PF - Premium","Fidelização","CE","11","2023-01-12","2024-12-13","17821.84","Fiel"
3138,"CLI03138","PF - Varejo","Recall","RJ","11","2023-03-20","2024-12-24","11160.07","Fiel"
2098,"CLI02098","PF - Varejo","Indicação","SP","11","2023-01-07","2024-10-29","11143.60","Fiel"
234,"CLI00234","PF - Varejo","Indicação","BA","11","2023-05-05","2024-12-03","16660.31","Fiel"
525,"CLI00525","PF - Premium","CRM Ativo","RJ","11","2023-02-24","2024-12-10","15230.71","Fiel"
1906,"CLI01906","PF - Premium","Digital","SP","11","2023-03-06","2024-10-03","13957.18","Fiel"
2908,"CLI02908","PF - Varejo","Fidelização","PR","11","2023-03-17","2024-10-27","14630.48","Fiel"
1974,"CLI01974","PF - Varejo","Indicação","RJ","11","2023-05-16","2024-12-06","8185.61","Fiel"
2117,"CLI02117","PF - Varejo","Fidelização","SP","11","2023-05-22","2024-12-18","19309.25","Fiel"
3330,"CLI03330","PF - Varejo","Digital","RS","11","2023-01-10","2024-12-02","10912.34","Fiel"
3672,"CLI03672","PF - Varejo","Digital","SP","11","2023-02-19","2024-11-08","18394.76","Fiel"
2720,"CLI02720","PF - Premium","Showroom","RS","11","2023-06-09","2024-12-05","17030.27","Fiel"
787,"CLI00787","PF - Varejo","Showroom","SP","11","2023-01-04","2024-12-18","15716.49","Fiel"
3718,"CLI03718","PJ - Frota Pequena","Indicação","SP","11","2023-04-25","2024-11-25","7488.82","Fiel"
725,"CLI00725","PJ - Frota Pequena","Fidelização","SP","11","2023-03-07","2024-12-06","8580.69","Fiel"
3737,"CLI03737","PF - Premium","CRM Ativo","MG","11","2023-03-14","2024-12-04","10437.18","Fiel"
3685,"CLI03685","PJ - Frota Pequena","Indicação","RJ","11","2023-03-03","2024-12-05","11210.44","Fiel"
1936,"CLI01936","PF - Premium","Digital","RJ","11","2023-03-25","2024-06-25","11132.96","Fiel"
3080,"CLI03080","PF - Varejo","Digital","RS","11","2023-02-21","2024-10-20","12909.25","Fiel"
2379,"CLI02379","PJ - Frota Pequena","Indicação","PR","11","2023-07-08","2024-12-10","14425.76","Fiel"
596,"CLI00596","PF - Premium","Digital","SP","11","2023-09-24","2024-11-04","13229.61","Fiel"
3863,"CLI03863","PF - Varejo","Digital","SP","11","2023-02-16","2024-11-17","12435.92","Fiel"
2293,"CLI02293","PJ - Frota Pequena","Fidelização","SP","11","2023-01-10","2024-09-27","21575.43","Fiel"
2825,"CLI02825","PF - Premium","Indicação","SP","11","2023-04-15","2024-12-26","24572.98","Fiel"
1488,"CLI01488","PJ - Frota Pequena","Digital","PE","11","2023-02-02","2024-12-30","10680.16","Fiel"
1084,"CLI01084","PF - Premium","Recall","SP","11","2023-04-27","2024-10-01","8853.75","Fiel"
2612,"CLI02612","PF - Premium","Recall","DF","11","2023-01-03","2024-10-25","8801.75","Fiel"
3605,"CLI03605","PF - Varejo","Indicação","GO","11","2023-02-28","2024-08-11","7134.40","Fiel"
1260,"CLI01260","PJ - Frota Grande","Digital","RJ","11","2023-01-20","2024-12-31","7540.04","Fiel"
1859,"CLI01859","PF - Varejo","Indicação","SP","11","2023-02-17","2024-11-30","16243.64","Fiel"
1373,"CLI01373","PJ - Frota Pequena","Indicação","CE","11","2023-04-17","2024-11-11","11600.13","Fiel"
1807,"CLI01807","PJ - Frota Pequena","Fidelização","SC","11","2023-11-10","2024-12-05","18440.93","Fiel"
440,"CLI00440","PJ - Frota Grande","Digital","RS","11","2023-02-03","2024-10-05","25202.92","Fiel"
1297,"CLI01297","PF - Varejo","CRM Ativo","SP","11","2023-05-22","2024-12-06","10114.42","Fiel"
871,"CLI00871","PF - Premium","CRM Ativo","MG","11","2023-04-21","2024-12-18","11535.74","Fiel"
1869,"CLI01869","PJ - Frota Pequena","Indicação","RS","11","2023-01-06","2024-11-11","10650.88","Fiel"
2479,"CLI02479","PF - Premium","Fidelização","BA","11","2023-04-09","2024-10-13","15804.11","Fiel"
74,"CLI00074","PF - Varejo","Indicação","SP","11","2023-03-31","2024-12-19","21631.87","Fiel"
3611,"CLI03611","PF - Varejo","Digital","SC","11","2023-03-26","2024-08-19","23695.50","Fiel"
708,"CLI00708","PJ - Frota Grande","Indicação","MG","11","2023-01-23","2024-10-28","8918.86","Fiel"
2238,"CLI02238","PF - Varejo","Digital","PR","11","2023-02-10","2024-11-02","15227.74","Fiel"
1006,"CLI01006","PF - Varejo","Digital","PR","11","2023-01-07","2024-10-27","15681.26","Fiel"
2404,"CLI02404","PF - Varejo","Digital","SP","11","2023-01-22","2024-08-23","6820.21","Fiel"
782,"CLI00782","PF - Varejo","Recall","SP","11","2023-01-09","2024-08-23","11939.25","Fiel"
148,"CLI00148","PF - Varejo","Fidelização","PE","11","2023-01-01","2024-10-21","6488.94","Fiel"
1850,"CLI01850","PF - Premium","Digital","RJ","11","2023-01-03","2024-11-25","19624.05","Fiel"
458,"CLI00458","PJ - Frota Pequena","Fidelização","SP","11","2023-01-27","2024-08-31","19301.58","Fiel"
3799,"CLI03799","PF - Varejo","Indicação","RJ","11","2023-07-28","2024-12-08","15527.47","Fiel"
1919,"CLI01919","PF - Premium","Digital","SP","11","2023-02-28","2024-11-11","10678.68","Fiel"
759,"CLI00759","PF - Varejo","Indicação","PE","11","2023-02-05","2024-10-02","11480.73","Fiel"
1914,"CLI01914","PJ - Frota Grande","Indicação","SP","11","2023-01-22","2024-12-29","13021.47","Fiel"
2004,"CLI02004","PJ - Frota Pequena","Digital","ES","11","2023-02-23","2024-12-30","14414.75","Fiel"
505,"CLI00505","PF - Premium","Digital","SP","11","2023-03-25","2024-11-25","7952.76","Fiel"
3794,"CLI03794","PJ - Frota Grande","Indicação","PR","11","2023-01-31","2024-10-20","11874.32","Fiel"
3446,"CLI03446","PF - Varejo","Digital","SP","11","2023-02-04","2024-11-16","13835.25","Fiel"
3123,"CLI03123","PF - Premium","Showroom","MG","11","2023-01-06","2024-09-22","18704.91","Fiel"
2211,"CLI02211","PF - Premium","Digital","PR","11","2023-03-20","2024-09-23","9521.08","Fiel"
2770,"CLI02770","PJ - Frota Pequena","Showroom","RJ","11","2023-01-28","2024-12-30","15343.99","Fiel"
2748,"CLI02748","PF - Varejo","Fidelização","PE","11","2023-07-26","2024-11-17","13667.17","Fiel"
3410,"CLI03410","PF - Varejo","Recall","RS","11","2023-01-25","2024-11-26","13785.37","Fiel"
3187,"CLI03187","PF - Varejo","Showroom","PR","11","2023-01-01","2024-12-21","7438.57","Fiel"
3960,"CLI03960","PJ - Frota Grande","Recall","SP","11","2023-03-08","2024-11-26","10745.58","Fiel"
1036,"CLI01036","PF - Varejo","Indicação","SP","11","2023-10-24","2024-11-05","19619.19","Fiel"
665,"CLI00665","PJ - Frota Pequena","Indicação","RJ","11","2023-02-11","2024-11-26","15538.74","Fiel"
1165,"CLI01165","PF - Varejo","CRM Ativo","RJ","11","2023-02-19","2024-12-05","6661.44","Fiel"
3346,"CLI03346","PF - Varejo","Recall","SC","11","2023-02-18","2024-09-12","9812.67","Fiel"
714,"CLI00714","PF - Varejo","Recall","SP","11","2023-02-12","2024-09-02","15552.38","Fiel"
2180,"CLI02180","PF - Varejo","Digital","SP","11","2023-01-24","2024-12-25","8273.93","Fiel"
1405,"CLI01405","PJ - Frota Pequena","Digital","RJ","11","2023-04-03","2024-11-09","13191.07","Fiel"
1100,"CLI01100","PJ - Frota Grande","Recall","BA","11","2023-04-09","2024-11-24","12060.16","Fiel"
1304,"CLI01304","PF - Premium","Indicação","RJ","11","2023-03-01","2024-12-12","11518.62","Fiel"
1088,"CLI01088","PF - Varejo","Digital","MG","11","2023-01-02","2024-06-15","22434.23","Fiel"
1231,"CLI01231","PJ - Frota Grande","Recall","BA","11","2023-01-06","2024-08-23","7863.94","Fiel"
1444,"CLI01444","PJ - Frota Grande","CRM Ativo","SP","11","2023-02-27","2024-12-09","12606.98","Fiel"
1734,"CLI01734","PF - Premium","Showroom","PE","11","2023-02-16","2024-07-20","17399.06","Fiel"
2820,"CLI02820","PF - Varejo","Digital","SP","11","2023-01-17","2024-09-12","12188.09","Fiel"
38,"CLI00038","PF - Varejo","Recall","SP","10","2023-02-07","2024-12-05","5910.44","Fiel"
1377,"CLI01377","PF - Varejo","Digital","SP","10","2023-01-16","2024-12-18","12115.22","Fiel"
3028,"CLI03028","PF - Varejo","Indicação","RJ","10","2023-04-13","2024-09-02","14504.63","Fiel"
1741,"CLI01741","PF - Varejo","Digital","MG","10","2023-02-12","2024-08-29","4455.05","Fiel"
3917,"CLI03917","PJ - Frota Grande","Indicação","RS","10","2023-04-01","2024-11-27","7908.20","Fiel"
516,"CLI00516","PF - Varejo","Indicação","RS","10","2023-03-06","2024-03-31","22417.13","Fiel"
198,"CLI00198","PJ - Frota Grande","Fidelização","MG","10","2023-02-11","2024-09-12","8950.54","Fiel"
3224,"CLI03224","PF - Premium","Indicação","MG","10","2023-02-16","2024-09-07","8519.03","Fiel"
1503,"CLI01503","PF - Varejo","Recall","SP","10","2023-02-21","2024-11-06","9963.95","Fiel"
2257,"CLI02257","PF - Premium","Fidelização","PR","10","2023-01-06","2024-08-14","8054.59","Fiel"
1027,"CLI01027","PF - Varejo","Digital","SP","10","2023-01-03","2024-11-12","9243.56","Fiel"
3083,"CLI03083","PF - Varejo","Digital","SP","10","2023-05-26","2024-08-13","12901.89","Fiel"
